acc,iter,time,units
0.6178736517719569,1,0.0100860595703125,10
0.5639445300462249,2,0.005419015884399414,10
0.6964560862865947,3,0.0064809322357177734,10
0.3081664098613251,4,0.008234977722167969,10
0.6964560862865947,5,0.010218143463134766,10
0.6949152542372882,6,0.012245893478393555,10
0.5331278890600925,7,0.014008045196533203,10
0.6363636363636364,8,0.015127897262573242,10
0.6964560862865947,9,0.018511056900024414,10
0.6764252696456087,10,0.019552946090698242,10
0.7195685670261941,11,0.022395849227905273,10
0.7087827426810478,12,0.022715091705322266,10
0.7087827426810478,13,0.024794816970825195,10
0.711864406779661,14,0.02630305290222168,10
0.7103235747303543,15,0.02877497673034668,10
0.7288135593220338,16,0.02993297576904297,10
0.7087827426810478,17,0.03189992904663086,10
0.7149460708782742,18,0.03200984001159668,10
0.7426810477657936,19,0.03387784957885742,10
0.7318952234206472,20,0.036364078521728516,10
0.7534668721109399,21,0.04023289680480957,10
0.6979969183359014,22,0.039201974868774414,10
0.7349768875192604,23,0.0411069393157959,10
0.7534668721109399,24,0.04302501678466797,10
0.74884437596302,25,0.04470014572143555,10
0.7149460708782742,26,0.04681897163391113,10
0.7087827426810478,27,0.04965806007385254,10
0.7349768875192604,28,0.05091404914855957,10
0.7519260400616333,29,0.05264997482299805,10
0.7426810477657936,30,0.05391502380371094,10
0.736517719568567,31,0.05655694007873535,10
0.7349768875192604,32,0.057829856872558594,10
0.7534668721109399,33,0.05895519256591797,10
0.74884437596302,34,0.06270599365234375,10
0.7673343605546995,35,0.06209707260131836,10
0.7534668721109399,36,0.06403398513793945,10
0.7550077041602465,37,0.06488180160522461,10
0.7334360554699538,38,0.06803703308105469,10
0.7796610169491526,39,0.06862807273864746,10
0.7642526964560863,40,0.07080292701721191,10
0.7812018489984591,41,0.07387709617614746,10
0.7627118644067796,42,0.07501697540283203,10
0.7765793528505393,43,0.07613301277160645,10
0.7796610169491526,44,0.0794060230255127,10
0.7688751926040062,45,0.07918381690979004,10
0.7919876733436055,46,0.08063793182373047,10
0.7781201848998459,47,0.0848231315612793,10
0.7827426810477658,48,0.08437991142272949,10
0.7765793528505393,49,0.08614087104797363,10
0.7935285053929122,50,0.09024596214294434,10
0.7981510015408321,51,0.08814620971679688,10
0.7642526964560863,52,0.09074211120605469,10
0.8073959938366718,53,0.09336996078491211,10
0.7904468412942989,54,0.09532999992370605,10
0.7981510015408321,55,0.09605002403259277,10
0.7935285053929122,56,0.10020589828491211,10
0.7996918335901386,57,0.09946799278259277,10
0.7904468412942989,58,0.10203409194946289,10
0.7919876733436055,59,0.10521316528320312,10
0.7889060092449923,60,0.10488700866699219,10
0.8012326656394453,61,0.10789108276367188,10
0.7827426810477658,62,0.10838198661804199,10
0.7873651771956857,63,0.11006999015808105,10
0.785824345146379,64,0.11305809020996094,10
0.7765793528505393,65,0.1148378849029541,10
0.7904468412942989,66,0.1146399974822998,10
0.7950693374422187,67,0.11875391006469727,10
0.7889060092449923,68,0.11901998519897461,10
0.7950693374422187,69,0.12138795852661133,10
0.7919876733436055,70,0.12194299697875977,10
0.7704160246533128,71,0.1268911361694336,10
0.7981510015408321,72,0.12488698959350586,10
0.8043143297380585,73,0.12842988967895508,10
0.7842835130970724,74,0.12849998474121094,10
0.7688751926040062,75,0.13297796249389648,10
0.7950693374422187,76,0.13291501998901367,10
