algo,iter,bitstring_size,val,time
rhc,15,50,39.0,0.025321778
rhc,16,50,42.0,0.024728393
rhc,17,50,42.0,0.021914948
rhc,18,50,39.0,0.023611745
rhc,19,50,41.0,0.025976023
rhc,20,50,41.0,0.023366543
rhc,21,50,43.0,0.025246822
rhc,22,50,37.0,0.026007603
rhc,23,50,40.0,0.025366171
rhc,24,50,40.0,0.025219552
rhc,25,50,40.0,0.020677779
rhc,26,50,40.0,0.022617271
rhc,27,50,35.0,0.022666706
rhc,28,50,38.0,0.026841411
rhc,29,50,40.0,0.027214545
rhc,30,50,39.0,0.023085895
sa,1,50,49.0,0.126427731
sa,2,50,49.0,0.140388956
sa,3,50,49.0,0.143086492
sa,4,50,49.0,0.134036764
sa,5,50,49.0,0.136871276
sa,6,50,49.0,0.13272375
sa,7,50,49.0,0.132237389
sa,8,50,49.0,0.125255701
sa,9,50,49.0,0.122772596
sa,10,50,49.0,0.127363418
sa,11,50,49.0,0.123753319
sa,12,50,49.0,0.132415154
sa,13,50,49.0,0.138069831
sa,14,50,49.0,0.13042816
sa,15,50,49.0,0.125099459
sa,16,50,49.0,0.124876614
sa,17,50,49.0,0.137782173
sa,18,50,49.0,0.129632134
sa,19,50,49.0,0.125938889
sa,20,50,49.0,0.121616262
sa,21,50,49.0,0.137971953
sa,22,50,49.0,0.142702897
sa,23,50,49.0,0.157650434
sa,24,50,49.0,0.160438706
sa,25,50,49.0,0.150578262
sa,26,50,49.0,0.134440178
sa,27,50,49.0,0.124122984
sa,28,50,49.0,0.137343329
sa,29,50,49.0,0.131561295
sa,30,50,49.0,0.130143485
ga,1,50,44.0,0.057101267
ga,2,50,47.0,0.060294219
ga,3,50,48.0,0.05282893
ga,4,50,48.0,0.056070391
ga,5,50,46.0,0.055421055
ga,6,50,45.0,0.05813834
ga,7,50,45.0,0.056392646
ga,8,50,45.0,0.055145273
ga,9,50,46.0,0.057567285
ga,10,50,47.0,0.056013742
ga,11,50,46.0,0.05605055
ga,12,50,46.0,0.053762505
ga,13,50,44.0,0.054294926
ga,14,50,47.0,0.056912182
ga,15,50,45.0,0.061384839
ga,16,50,47.0,0.054758599
ga,17,50,47.0,0.053543242
ga,18,50,43.0,0.056256252
ga,19,50,46.0,0.056996017
ga,20,50,47.0,0.053960818
ga,21,50,45.0,0.057308664
ga,22,50,44.0,0.063056014
ga,23,50,47.0,0.068824759
ga,24,50,47.0,0.06493168
ga,25,50,49.0,0.053833542
ga,26,50,48.0,0.055822768
ga,27,50,44.0,0.057372353
ga,28,50,46.0,0.054455493
ga,29,50,46.0,0.057844549
ga,30,50,45.0,0.056122786
mimic,1,50,46.0,1.427232417
mimic,2,50,45.0,1.280277988
mimic,3,50,45.0,1.286172327
mimic,4,50,45.0,1.292018219
mimic,5,50,47.0,1.340259282
mimic,6,50,48.0,1.495790431
mimic,7,50,49.0,1.52045498
mimic,8,50,46.0,1.332946739
mimic,9,50,47.0,1.507852469
mimic,10,50,45.0,1.528109929
mimic,11,50,45.0,1.414162989
mimic,12,50,47.0,1.412229633
mimic,13,50,46.0,1.352776251
mimic,14,50,47.0,1.511132476
mimic,15,50,47.0,1.466117415
mimic,16,50,47.0,1.416433772
mimic,17,50,46.0,1.42228161
mimic,18,50,48.0,1.557410905
mimic,19,50,45.0,1.456820111
mimic,20,50,46.0,1.442308354
mimic,21,50,47.0,1.449174544
mimic,22,50,47.0,1.505240592
mimic,23,50,48.0,1.410214988
mimic,24,50,48.0,1.337685185
mimic,25,50,47.0,1.345827493
mimic,26,50,47.0,1.284948898
mimic,27,50,48.0,1.272048528
