algo,iter,bitstring_size,val,time
rhc,1,50,0.11722174897018728,0.147214248
sa,1,50,0.12404438817880781,0.304928375
ga,1,50,0.1473596061584853,0.593051892
mimic,1,50,0.08649595814336097,17.574047259
