units,iter,algo,acc,time
100,1,RHC,0.6671802773497689,0.017610992
100,2,RHC,0.6671802773497689,0.033328298
100,3,RHC,0.6671802773497689,0.020013569
100,4,RHC,0.6671802773497689,0.019015426
100,5,RHC,0.6687211093990755,0.022015796
100,6,RHC,0.6687211093990755,0.017638345
100,7,RHC,0.6687211093990755,0.016881273
100,8,RHC,0.6687211093990755,0.016030176
100,9,RHC,0.6687211093990755,0.016599421
100,10,RHC,0.6687211093990755,0.015872965
100,11,RHC,0.6671802773497689,0.015868259
100,12,RHC,0.6671802773497689,0.01585138
100,13,RHC,0.6671802773497689,0.018684589
100,14,RHC,0.6671802773497689,0.016942838
100,15,RHC,0.6671802773497689,0.017494939
100,16,RHC,0.6671802773497689,0.019845153
100,17,RHC,0.6671802773497689,0.019458877
100,18,RHC,0.6671802773497689,0.019173371
100,19,RHC,0.6671802773497689,0.021706747
100,20,RHC,0.6671802773497689,0.044713186
100,21,RHC,0.6671802773497689,0.019805079
100,22,RHC,0.6687211093990755,0.019512092
100,23,RHC,0.6671802773497689,0.019222521
100,24,RHC,0.6671802773497689,0.017178168
100,25,RHC,0.6687211093990755,0.018965714
100,26,RHC,0.6687211093990755,0.016481896
100,27,RHC,0.6687211093990755,0.015977915
100,28,RHC,0.6687211093990755,0.015941192
100,29,RHC,0.6687211093990755,0.020717954
100,30,RHC,0.6687211093990755,0.017433242
100,31,RHC,0.6687211093990755,0.018955274
100,32,RHC,0.6687211093990755,0.017925285
100,33,RHC,0.6687211093990755,0.016718283
100,34,RHC,0.6687211093990755,0.016691429
100,35,RHC,0.6687211093990755,0.017334846
100,36,RHC,0.6718027734976888,0.017469535
100,37,RHC,0.6718027734976888,0.020200314
100,38,RHC,0.6718027734976888,0.016704408
100,39,RHC,0.6733436055469953,0.017122367
100,40,RHC,0.6733436055469953,0.016846457
100,41,RHC,0.674884437596302,0.017504551
100,42,RHC,0.674884437596302,0.016764151
100,43,RHC,0.674884437596302,0.017088102
100,44,RHC,0.6733436055469953,0.017270685
100,45,RHC,0.6733436055469953,0.017758048
100,46,RHC,0.6733436055469953,0.018893948
100,47,RHC,0.6733436055469953,0.019338531
100,48,RHC,0.6733436055469953,0.017143171
100,49,RHC,0.6733436055469953,0.017886553
100,50,RHC,0.6733436055469953,0.016782305
100,51,RHC,0.6733436055469953,0.019167867
100,52,RHC,0.6733436055469953,0.018480378
100,53,RHC,0.6733436055469953,0.01765079
100,54,RHC,0.6733436055469953,0.016779078
100,55,RHC,0.6733436055469953,0.017887405
100,56,RHC,0.6733436055469953,0.016309738
100,57,RHC,0.6733436055469953,0.016829156
100,58,RHC,0.674884437596302,0.016660571
100,59,RHC,0.674884437596302,0.016698289
100,60,RHC,0.674884437596302,0.017618542
100,61,RHC,0.674884437596302,0.017065441
100,62,RHC,0.674884437596302,0.017335375
100,63,RHC,0.674884437596302,0.017108575
100,64,RHC,0.6718027734976888,0.017027235
100,65,RHC,0.6718027734976888,0.016815221
100,66,RHC,0.6718027734976888,0.016310288
100,67,RHC,0.6718027734976888,0.016863401
100,68,RHC,0.6718027734976888,0.016278929
100,69,RHC,0.6718027734976888,0.016489876
100,70,RHC,0.6718027734976888,0.017249895
100,71,RHC,0.6718027734976888,0.017581246
100,72,RHC,0.6718027734976888,0.016548181
100,73,RHC,0.6718027734976888,0.019369994
100,74,RHC,0.6718027734976888,0.019902372
100,75,RHC,0.6718027734976888,0.018632718
100,76,RHC,0.6718027734976888,0.018194279
100,77,RHC,0.6718027734976888,0.017616883
100,78,RHC,0.6718027734976888,0.019247114
100,79,RHC,0.6733436055469953,0.018474201
100,80,RHC,0.6733436055469953,0.017492785
100,81,RHC,0.6733436055469953,0.016577243
100,82,RHC,0.6733436055469953,0.018368362
100,83,RHC,0.6733436055469953,0.019843397
100,84,RHC,0.674884437596302,0.019876945
100,85,RHC,0.6718027734976888,0.017811792
100,86,RHC,0.6718027734976888,0.016697024
100,87,RHC,0.6718027734976888,0.017024947
100,88,RHC,0.6718027734976888,0.016991449
100,89,RHC,0.6718027734976888,0.017994815
100,90,RHC,0.6718027734976888,0.017235336
100,91,RHC,0.6718027734976888,0.017780077
100,92,RHC,0.6718027734976888,0.017033381
100,93,RHC,0.6718027734976888,0.017256462
100,94,RHC,0.6718027734976888,0.016974001
100,95,RHC,0.6718027734976888,0.017423834
100,96,RHC,0.6718027734976888,0.01752242
100,97,RHC,0.6718027734976888,0.0173303
100,98,RHC,0.6718027734976888,0.017928225
100,99,RHC,0.6718027734976888,0.017353853
100,100,RHC,0.6718027734976888,0.01746543
100,101,RHC,0.6718027734976888,0.017779189
100,102,RHC,0.6718027734976888,0.017751817
100,103,RHC,0.6718027734976888,0.017546045
100,104,RHC,0.6718027734976888,0.016974384
100,105,RHC,0.6718027734976888,0.017339588
100,106,RHC,0.6718027734976888,0.017019829
100,107,RHC,0.6718027734976888,0.016282651
100,108,RHC,0.6718027734976888,0.017424746
100,109,RHC,0.6718027734976888,0.018238154
100,110,RHC,0.6718027734976888,0.017836537
100,111,RHC,0.6718027734976888,0.018006337
100,112,RHC,0.6718027734976888,0.0159905
100,113,RHC,0.6718027734976888,0.016114662
100,114,RHC,0.6718027734976888,0.016361093
100,115,RHC,0.6718027734976888,0.016567511
100,116,RHC,0.6718027734976888,0.01718162
100,117,RHC,0.6733436055469953,0.017095173
100,118,RHC,0.6733436055469953,0.017929689
100,119,RHC,0.6733436055469953,0.016796353
100,120,RHC,0.6733436055469953,0.017790516
100,121,RHC,0.674884437596302,0.017118611
100,122,RHC,0.674884437596302,0.017655674
100,123,RHC,0.674884437596302,0.017580906
100,124,RHC,0.674884437596302,0.018010533
