algo,iter,bitstring_size,val,time
sa,9,50,50.0,0.129586716
sa,10,50,50.0,0.129022493
sa,11,50,50.0,0.124899488
sa,12,50,50.0,0.130378522
sa,13,50,50.0,0.134725834
sa,14,50,50.0,0.131345579
sa,15,50,50.0,0.1323557
sa,16,50,50.0,0.129847165
sa,17,50,50.0,0.132078857
sa,18,50,50.0,0.127067291
sa,19,50,50.0,0.135648213
sa,20,50,50.0,0.132243957
sa,21,50,50.0,0.130679824
sa,22,50,50.0,0.13513476
sa,23,50,50.0,0.13273844
sa,24,50,50.0,0.142718939
sa,25,50,50.0,0.136628331
sa,26,50,50.0,0.129171624
sa,27,50,50.0,0.130213302
sa,28,50,50.0,0.129387938
sa,29,50,50.0,0.133941608
sa,30,50,50.0,0.128407014
ga,1,50,38.0,0.054289329
ga,2,50,50.0,0.053913095
ga,3,50,36.0,0.054432989
ga,4,50,50.0,0.053843503
ga,5,50,29.0,0.053112973
ga,6,50,43.0,0.053946082
ga,7,50,38.0,0.05849144
ga,8,50,40.0,0.059197958
ga,9,50,37.0,0.056440354
ga,10,50,41.0,0.057190938
ga,11,50,23.0,0.052786839
ga,12,50,31.0,0.055299354
ga,13,50,46.0,0.055368698
ga,14,50,37.0,0.058304261
ga,15,50,44.0,0.054238892
ga,16,50,31.0,0.05477853
ga,17,50,37.0,0.055580914
ga,18,50,32.0,0.057724777
ga,19,50,44.0,0.058067205
ga,20,50,41.0,0.055544304
ga,21,50,46.0,0.059244033
ga,22,50,42.0,0.059651516
ga,23,50,48.0,0.06175214
ga,24,50,34.0,0.053674481
ga,25,50,26.0,0.054036369
ga,26,50,37.0,0.053343514
ga,27,50,42.0,0.05185957
ga,28,50,35.0,0.058010644
ga,29,50,38.0,0.057483438
ga,30,50,48.0,0.056168039
mimic,1,50,50.0,1.377949889
mimic,2,50,50.0,1.436179087
mimic,3,50,50.0,1.405840399
mimic,4,50,50.0,1.358000598
mimic,5,50,50.0,1.35099853
mimic,6,50,50.0,1.318524477
mimic,7,50,50.0,1.306455791
mimic,8,50,50.0,1.313997217
mimic,9,50,50.0,1.329990544
mimic,10,50,50.0,1.398795723
mimic,11,50,50.0,1.36144513
mimic,12,50,50.0,1.347437412
mimic,13,50,50.0,1.387631208
mimic,14,50,50.0,1.353324355
mimic,15,50,50.0,1.304020706
mimic,16,50,50.0,1.36478199
mimic,17,50,50.0,1.356847447
mimic,18,50,50.0,1.368248542
mimic,19,50,50.0,1.305739543
mimic,20,50,50.0,1.320024997
mimic,21,50,50.0,1.263462132
mimic,22,50,50.0,1.320486672
mimic,23,50,50.0,1.399273413
mimic,24,50,50.0,1.357104165
mimic,25,50,50.0,1.405253075
mimic,26,50,50.0,1.294156972
mimic,27,50,50.0,1.365158969
mimic,28,50,50.0,1.301008907
mimic,29,50,50.0,1.383833437
mimic,30,50,50.0,1.407530449
rhc,1,80,80.0,0.027385828
rhc,2,80,80.0,0.027269985
rhc,3,80,80.0,0.031145311
rhc,4,80,80.0,0.031075972
rhc,5,80,80.0,0.029544624
rhc,6,80,80.0,0.028674394
rhc,7,80,80.0,0.036090038
rhc,8,80,80.0,0.03712676
rhc,9,80,80.0,0.03471615
rhc,10,80,80.0,0.037309467
rhc,11,80,80.0,0.032831146
rhc,12,80,80.0,0.035814426
rhc,13,80,80.0,0.038042994
rhc,14,80,80.0,0.036457924
rhc,15,80,80.0,0.040714774
rhc,16,80,80.0,0.034216788
rhc,17,80,80.0,0.040142
rhc,18,80,80.0,0.034119813
rhc,19,80,80.0,0.034863003
rhc,20,80,80.0,0.03650543
rhc,21,80,80.0,0.035379467
rhc,22,80,80.0,0.034579013
rhc,23,80,80.0,0.035255614
rhc,24,80,80.0,0.029349635
rhc,25,80,80.0,0.034765629
